raw_drug,normalized_drug,drug_id
calcitroil,calcitriol,d03126
calcitrol,calcitriol,d03126
calcium,calcium,d00425
calcium + d,calcium with vitamin d,d03137
calcium and vit a,calcium and vitamin a,NO_DRUG_ID
calcium blocker,calcium channel blocker,NO_DRUG_ID
calcium carbon,calcium carbonate,d00425
calcium carbonate,calcium carbonate,d00425
calcium citrate,calcium citrate,d03866
calcium cl,calcium chloride,d03799
calcium d,calcium carbonate,d00425
calcium gluc,calcium gluconate,d03800
calcium oyster,unknown,d00425
calcium w/ d,calcium with vitamin d,d03137
calcium/d,calcium with vitamin d,d03137
calcium/magnesium/zinc+d,calcium magnesium zinc vitamin d supplement,NO_DRUG_ID
calcium/vit d,calcium carbonate with vitamin d3,d03137
calcium+vitamin d,calcium carbonate + cholecalciferol,d03137
calclebrex,celebrex,d04380
caldiazem cd,cardizem cd,d00045
calexa,celexa,d04332
calfate (1gm),carafate,d00377
calictroil,calcitriol,d03126
calmoseptine,calmoseptine,d06868
calrinex,clarinex,d04785
calritin,claritin,d03050
caltrate,caltrate,d00425
camati,carisoprodol,d00960
cambivent,combivent,d04066
camiline,carbamazepine,d00058
campral,campral,d04986
canaling,unknown,NO_DRUG_ID
canasa supp,canasa,d01031
canbamazepine,carbamazepine,d00058
canbodopa levadopol,carbidopa-levodopa,d03473
candesartan,candesartan,d04322
candesartan cilexetil,candesartan cilexetil,d04322
candia,candesartan,d04322
candiazen,candesartan,d04322
candizem,cardizem,d00045
candizen,candesartan,d04322
candura,cardura,d00726
caozapine,clozapine,d00199
capapril,captopril,d00006
capex shampoo,capex shampoo,d01293
capoten,capoten,d00006
capotril,captopril,d00006
capropril,captopril,d00006
capropryl,captopril,d00006
capsaicin,capsaicin,d01321
capsaicin 0.00075 cream,capsaicin,d01321
capsaicin cream top,capsaicin cream,NO_DRUG_ID
capsaicin creme 0.25%,capsaicin cream 0.25%,NO_DRUG_ID
capsalin cream,capsaicin cream,NO_DRUG_ID
captapril,captopril,d00006
captepril,captopril,d00006
captopil,captopril,d00006
captopirl,captopril,d00006
captopnil,captopril,d00006
captopril,captopril,d00006
captopril/hctz,captopril/hydrochlorothiazide,d03566
captopryl,unknown,d00006
captorpil,captopril,d00006
captorpril,captopril,d00006
cara tase,caratase,NO_DRUG_ID
carafate,carafate,d00377
carb lev,carbidopa-levodopa,d03473
carb-levo,carbidopa-levodopa,d03473
carbadopa,carbidopa,d00184
carbadopa levadopa,carbidopa levodopa,d03473
carbama zepine,carbamazepine,d00058
carbamasepime,carbamazepine,d00058
carbamate,carbamazepine,d00058
carbamazepine,carbamazepine,d00058
carbamazepone,carbamazepine,d00058
carbamazipine,carbamazepine,d00058
carbamezaprine,unknown,d00058
carbamide peroxide,carbamide peroxide,NO_DRUG_ID
carbamzepine,carbamazepine,d00058
carbatrol,carbatrol,d00058
carbemazapime,carbamazepine,d00058
carbid-levo,carbidopa-levodopa,d03473
carbid-levo er,carbidopa-levodopa er,d03473
carbidapa/levodopa,carbidopa/levodopa,d03473
carbidopa,carbidopa,d00184
carbidopa  levodopa,unknown,NO_DRUG_ID
carbidopa - levodopa,carbidopa-levodopa,d03473
carbidopa / levadopa,carbidopa/levodopa,d03473
carbidopa / levidopa,carbidopa/levodopa,d03473
carbidopa / levo,carbidopa/levodopa,d03473
carbidopa 25   levodopa 100,carbidopa/levodopa,d03473
carbidopa 25 levodopa 100,carbidopa/levodopa,d03473
carbidopa 25/levodopa 100,carbidopa/levodopa,d03473
carbidopa 50/ levodopa 200 sa,carbidopa/levodopa sustained release,NO_DRUG_ID
carbidopa and levodopa,carbidopa and levodopa,d03473
carbidopa cr,carbidopa/levodopa cr,d03473
carbidopa levadopa,carbidopa-levodopa,d03473
carbidopa levadopa sa,unknown,NO_DRUG_ID
carbidopa levodopa,carbidopa-levodopa,d03473
carbidopa levodopa  25 100 mg,unknown,d03473
carbidopa levodopa 10 100,carbidopa-levodopa,d03473
carbidopa levodopa 25 100,carbidopa-levodopa,d03473
carbidopa levodopa 25 100 1 ta,carbidopa-levodopa,d03473
carbidopa-levodopa,carbidopa-levodopa,d03473
carbidopa-levodopa 25 100,carbidopa-levodopa,d03473
carbidopa-levodopa cr,carbidopa-levodopa cr,d03473
carbidopa-levodopa sr 25 100,carbidopa-levodopa sustained release,NO_DRUG_ID
carbidopa/eldopha,carbidopa/levodopa,d03473
carbidopa/lerodopa,carbidopa/levodopa,d03473
carbidopa/levadopa,carbidopa/levodopa,d03473
carbidopa/levidopa,unknown,d03473
carbidopa/levodepa,carbidopa/levodopa,d03473
carbidopa/levodopa,carbidopa/levodopa,d03473
carbidopa/levodopa 10/100,carbidopa/levodopa,d03473
carbidopa/levodopa 25/100,carbidopa/levodopa,d03473
carbidopa/levodopa 25/100 1 ta,carbidopa/levodopa,d03473
carbidopa/levodopa 25/250,carbidopa/levodopa,d03473
carbidopa25/ levodopa,carbidopa/levodopa,d03473
carbidopal levadopa,carbidopa-levodopa,d03473
carbidopal/leodopa,unknown,d03473
carbidopal/levo,carbidopa/levodopa,d03473
carbidopalevo er 50-200,carbidopa-levodopa er 50-200,d03473
carbidopalevodopa,carbidopa-levodopa,d03473
carbidupa,carbidopa,d00184
carbitol,carbitol,NO_DRUG_ID
carbitrol,carbitrol,NO_DRUG_ID
carbldopa,carbidopa,d00184
carbo;evpdp[a,carbidopa/levodopa,d03473
carbocopa 25 100,carbidopa-levodopa 25/100,NO_DRUG_ID
carbodopa levadopa,carbidopa-levodopa,d03473
carbodopa levodopa,unknown,d03473
carbol levo,carbidopa-levodopa,d03473
carbolevadopa,carbidopa-levodopa,d03473
cardec,cardec,d03300
cardena,cardene,d00315
cardene,cardene,d00315
cardene-sr,cardene sr,d00315
cardi zein,cardizem,d00045
cardia,cardizem,d00045
cardia xt,cardizem cd,d00045
cardiazem,cardizem,d00045
cardina,cardura,d00726
cardio-plus multivitamin,cardio-plus multivitamin,NO_DRUG_ID
cardison cd,cardizem cd,d00045
cardisori cd,cardizem cd,d00045
carditone,carditone,NO_DRUG_ID
cardizcm,cardizem,d00045
cardize cm,cardizem cd,d00045
cardizem,cardizem,d00045
cardizem cd,cardizem cd,d00045
cardizem cr,unknown,d00045
cardizem la,cardizem la,d00045
cardizem xl,cardizem xl,d00045
cardizem-cd,cardizem cd,d00045
cardizemla,cardizem la,d00045
cardizemsr,cardizem sr,d00045
cardizen,cardizem,d00045
cardizen cd,cardizem cd,d00045
cardizim,cardizem,d00045
cardizon,cardizem,d00045
cardora,cardura,d00726
carduett,carduet,NO_DRUG_ID
carduia,cardura,d00726
cardura,cardura,d00726
carhidopa,carbidopa,d00184
caribodopa,carbidopa,d00184
carisoprodal,carisoprodol,d00960
carisoprodol,carisoprodol,d00960
carisprodol,carisoprodol,d00960
carnitor,carnitor,d00491
carpidopa / levodopa,carbidopa/levodopa,d03473
carta,cartia,d00045
carteolol,carteolol,d00708
carteolol drops,carteolol drops,d04039
carteolol hydrochloride,carteolol hydrochloride,d04039
carter,unknown,d01015
cartesartan,candesartan,d04322
cartia,cartia,d00045
cartia x 7,cartia xt,d00045
cartia xl,cartia xt,d00045
cartia xt,cartia xt,d00045
cartia xt er,unknown,d00045
cartia xter,unknown,d00045
cartia-xt,cartia xt,d00045
cartia/diltiazem,diltiazem,d00045
cartia/tizac,cartia xt/tiazac,NO_DRUG_ID
cartiaxt,cartia xt,d00045
cartin xt,cartin xt,NO_DRUG_ID
cartoa,cartia,NO_DRUG_ID
cartopril,captopril,d00006
carvadopa-levadopa,carbidopa-levodopa,d03473
carvedilol,carvedilol,d03847
carvedilol coreg cr,carvedilol,d03847
carvelide (coreg),unknown,d03847
casadex,casodex,d03850
casodex,casodex,d03850
casop gtts od,casodex,d03850
cassedox,casodex,d03850
castor oil,castor oil,d01014
cataflam,cataflam,d00848
catalopram,citalopram,d04332
catapres,catapres,d00044
catapres patch,catapres patch,d00044
catapres tts,catapres tts,d00044
catapres tts patch,catapres-tts,d00044
catapres-tts,catapres-tts,d00044
catapres-tts1,catapres-tts,d00044
catapress,catapres,d00044
catapress clonidine patch,catapres clonidine patch,d00044
catapress patch #3,catapres patch,d00044
catapress tts,catapres tts,NO_DRUG_ID
catia xt,catapres xt,d00045
catisoprodol,carisoprodol,d00960
catopril,captopril,d00006
caumadin,coumadin,d00022
cavbidopa,carbidopa,d00184
cavedilol 12.5,carvedilol,d03847
caverject,caverject,d01387
cazt,unknown,NO_DRUG_ID
cealis,cialis,d04896
cefadrexil,cefadroxil,d00080
ceftia,ceftriaxone,d00052
ceftin,unknown,d00056
cekenax,celebrex,d04380
celalopram (celexa),citalopram,d04332
celbrex,celebrex,d04380
celcbrex,celebrex,d04380
celcoxib,celecoxib,d04380
celebnex,celebrex,d04380
celebra,celebrex,d04380
celebrax,celebrex,d04380
celebres,celebrex,d04380
celebrex,celebrex,d04380
celebrex caps,celebrex,d04380
celebrey,celebrex,d04380
celebrez,celebrex,d04380
celecoxib,celecoxib,d04380
celecoxib selenium,celecoxib,d04380
celecrex,celebrex,d04380
celenue,celexa,d04332
celestin,celecoxib,d04380
celeva,celexa,d04332
celexa,celexa,d04332
celexa (am),celexa,d04332
celexa (pm),celexa,d04332
celexaq,celexa,d04332
celexea,celexa,d04332
celexia,celexa,d04332
celexsa,celexa,d04332
cellcept,cellcept,d03839
cellecept,cellcept,d03839
cellibrex,celebrex,d04380
celobelasol,clobetasol,NO_DRUG_ID
celuvisic,celecoxib,d04380
cemiordraone hcl,amiodarone hcl,NO_DRUG_ID
cenestin,cenestin,d00541
cenestine,cenestin,d00541
centrium silver,centrum silver,d03145
centrum,centrum,d03145
centrum multivitamin,centrum multivitamin,d03145
centrum silver,centrum silver,d03145
centrum silver vitamin,centrum silver,d03145
cephalerin,cephalexin,d00096
cephalexin,cephalexin,d00096
ceplixlexin,cephalexin,d00096
cerafolin,cerafolin,NO_DRUG_ID
cerazime by infusion,cerezyme,d04096
cere folin,cerefolate,NO_DRUG_ID
cerebrex,celebrex,d04380
cerefloin,cerebrolysin,d03140
cerefolin,cerefolin,d03140
cerefolin nac,cerefolin nac,NO_DRUG_ID
cerefolin-nac,cerefolin nac,NO_DRUG_ID
cerefolon,unknown,d03140
cerefolzn,cerefolzn,NO_DRUG_ID
cereforn,cerebyx,d04041
cereoflin,cerebrolysin,d03140
cerestine,cerezyme,d04096
ceretolin,citicoline,d05961
cerofolin,cerefolin,d03140
cerolin,keppra,d04499
cerolon,seroquel,d04220
cerrefolin,cerefolin,d03140
certa vite,certavite,NO_DRUG_ID
certagen,sertraline,d00880
certagen senior tablet,centrum silver,d03145
certavite silver,centrum silver,d03145
cervent,cervarix,d05817
cesopt eye drop,cosopt eye drops,NO_DRUG_ID
cetalopram,citalopram,d04332
cetirizine,cetirizine,d03827
cetirizine hcl,unknown,d03827
cetirzine,unknown,d03827
cetriode,cetirizine,d03827
cevestin,cerivastatin,d04140
cexapro,celexa,d04332
chantex,chantix,d05807
chantix,chantix,d05807
childrens aspirin,children's aspirin,d00170
chimara patch,climara patch,NO_DRUG_ID
chinese herbs,unknown,NO_DRUG_ID
chlor,chlorpromazine,d00064
chlor tablets,chlorpromazine,d00064
chlor-pheniramine,chlorpheniramine,d00191
chloral hydrate,chloral hydrate,d00147
chloral hydrate 500 mg 5 ml,chloral hydrate,d00147
chlorambucil,unknown,d00188
chloraquin,chloroquine,d00035
chlorathiazide,unknown,d00190
chlordiazepoxide,chlordiazepoxide,d00189
chlordiazepoxide-clidinium,unknown,d03492
chlordiazepozide,chlordiazepoxide,d00189
chlorestoral,cholestyramine,d00193
chlorhalidone,chlorthalidone,d00192
chlorhexidine,chlorhexidine,NO_DRUG_ID
chlorhexidine gluconate,chlorhexidine gluconate,d01231
chloride,unknown,NO_DRUG_ID
chlorlhalidne,chlorthalidone,d00192
chlorodiazepoxide,chlordiazepoxide,d00189
chloroquine phosphate,chloroquine phosphate,d00035
chlorothiazide,chlorothiazide,d00190
chlorpheniramine,chlorpheniramine,d00191
chlorpheniramine mal,chlorpheniramine maleate,d00191
chlorphenirmine,chlorpheniramine,d00191
chlorpropamide,chlorpropamide,d00042
chlortabs,chlorpheniramine,d00191
chlortalidone,chlorthalidone,d00192
chlorthal,chlorthalidone,d00192
chlorthaladone,chlorthalidone,d00192
chlorthaldone,chlorthalidone,d00192
chlorthalid,chlorthalidone,d00192
chlorthalidine,chlorthalidone,d00192
chlorthalidon,chlorthalidone,d00192
chlorthalidone,chlorthalidone,d00192
chlorthatrdone,chlorthalidone,d00192
chlorthilidone,chlorthalidone,d00192
chlortrimeton,chlor-trimeton,d00191
chlorzokazone,chlorzoxazone,d00962
chlorzoxazone,chlorzoxazone,d00962
chol-mag-trisal,choline magnesium trisalicylate,d03651
cholecalciferol,cholecalciferol,d03129
cholest-off,cholest-off,NO_DRUG_ID
cholestaid,cholestyramine,d00193
cholestepure,unknown,r10019
cholesterol,cholesterol,NO_DRUG_ID
cholesterol lowering med,statin,NO_DRUG_ID
cholesterol pill,statin,NO_DRUG_ID
cholesterol pills,statin,NO_DRUG_ID
cholestid,cholestid,d04426
cholestoff,unknown,s10044
cholestoral,cholestyramine,d00193
cholestryamin,cholestyramine,d00193
cholestryamine powder 1/2 tsp,cholestyramine,d00193
cholestyramine,cholestyramine,d00193
cholestyramine  4 grams,cholestyramine,d00193
cholestyramine -2grams,cholestyramine,d00193
cholestyramine powder,cholestyramine powder,d00193
cholestyramine sucrose,cholestyramine,d00193
cholicalciferol,cholecalciferol,d03129
choline,choline,d03159
choline mag trisol,choline magnesium trisalicylate,d03651
choline mag trisolyte,choline magnesium trisalicylate,d03651
choline magnesium trisalicyala,unknown,d03651
choline magrisolyle,choline magnesium trisalicylate,d03651
choline mg trisalicyl,choline magnesium trisalicylate,d03651
chonacepam,clonazepam,d00197
chondroitin,chondroitin,d04419
chondroitin-glucosamine,unknown,d04420
chondroiton,chondroitin,d04419
chondrotin,chondroitin,d04419
chorthalidone,chlorthalidone,d00192
chorthiahidone,chlorthalidone,d00192
chromagen,chromagen,d03141
chromium picolate,chromium picolinate,d04142
cialis,cialis,d04896
ciarinex d,unknown,d05473
ciclopirox olamine,unknown,d01272
cicostazol,cilostazol,d04382
cil,cilostazol,d04382
cilastozol,cilostazol,d04382
cilexa,celexa,d04332
cilostazd,cilostazol,d04382
cilostazol,cilostazol,d04382
cilostazol/pletal,cilostazol,d04382
cimeditidine,cimetidine,d00140
cimetadine,cimetidine,d00140
cimetedine,unknown,d00140
cimetidine,cimetidine,d00140
cimietidine,cimetidine,d00140
cimitidine,cimetidine,d00140
cingulair,singulair,d04289
cingular,singulair,d04289
cintalopram,citalopram,d04332
cipitor,lipitor,d04105
cipro,ciprofloxacin,d00011
cipro hcl,ciprofloxacin hydrochloride,d00011
cipro xr,cipro xr,d00011
ciproflaxacin (nasal spray),ciprofloxacin,d00011
ciproflaxocin,ciprofloxacin,d00011
ciprofloxaan,ciprofloxacin,d00011
ciprofloxacin,ciprofloxacin,d00011
ciprofloxacine,ciprofloxacin,d00011
ciprofloxacn,ciprofloxacin,d00011
ciprofloxacon,ciprofloxacin,d00011
ciprofloxalin,ciprofloxacin,d00011
ciprofloxaum,ciprofloxacin,d00011
cirofloxacin,ciprofloxacin,d00011
cisinapril,lisinopril,d00732
cisplatin,cisplatin,d00195
cisthma nix,sinemet,d03473
citalaporam,citalopram,d04332
citalapram,citalopram,d04332
citalopam,citalopram,d04332
citalopam hbr,citalopram hbr,d04332
citalopium,citalopram,d04332
citalopra,citalopram,d04332
citalopram,citalopram,d04332
citalopram (celexa),citalopram,d04332
citalopram celexia,citalopram,d04332
citalopram hb,citalopram hydrobromide,d04332
citalopram hbr,citalopram hydrobromide,d04332
citalopram hcl,citalopram,d04332
citalopram hyd.,citalopram hydrobromide,d04332
citalopram hydabromide,citalopram hydrobromide,d04332
citalopram hydro,unknown,d04332
citalopram hydrobraomibe,citalopram hydrobromide,d04332
citalopram hydrobromi,citalopram hydrobromide,d04332
citalopram hydrobromide,citalopram hydrobromide,d04332
citalopram hydrodoromide,citalopram hydrobromide,d04332
citalopram/celexa,citalopram,d04332
citalopram d/c 2007,citalopram,d04332
citalopran,citalopram,d04332
citalopran hbr,citalopram hbr,d04332
citalopran hydrobranide,citalopram hydrobromide,d04332
citaloprim,citalopram,d04332
citaloprom,citalopram,d04332
citaloprsm,citalopram,d04332
citaloprum,citalopram,d04332
citalpram hydrobromide,citalopram hydrobromide,d04332
citalproam,citalopram,d04332
citaopram,citalopram,d04332
citaprolam,citalopram,d04332
citazopram,citalopram,d04332
citlopralam,citalopram,d04332
citnetidine,cimetidine,d00140
citolopram,unknown,d04332
citracal,citracal,d03137
citracal plus,citracal plus,d03145
citracel,unknown,s10056
citralepram,citalopram,d04332
citralopram,citalopram,d04332
citrical d,unknown,d03137
citrucel,citrucel,d04248
citrus biflavanoid,citrus bioflavonoid,NO_DRUG_ID
citrus nitrate,unknown,NO_DRUG_ID
clanazepam,clonazepam,d00197
clantin-d,claritin-d,NO_DRUG_ID
claonidine hcl,clonidine hcl,NO_DRUG_ID
clapidazril,clopidogrel,d04258
claranex,unknown,d04785
claratin,claritin,d03050
claratin d,claritin d,d05473
clarin,claritin,d03050
clarinax,claritin,d03050
clarinex,clarinex,d04785
clarinex rdt,clarinex rdt,d04785
claritan,claritin,d03050
clariten,claritin,d03050
clarithromycin,clarithromycin,d00097
claritin,claritin,d03050
claritin d,claritin d,d03818
claritin-d 12 hr,claritin-d 12 hour,d03818
clariton,claritin,d03050
clebrex,celebrex,d04380
clelbrex,celebrex,d04380
clelebrex,celebrex,d04380
clelexa,celexa,d04332
clemastine fumarate,clemastine fumarate,d00780
cleocin + lotion,cleocin lotion,d01241
clidinium,clidinium,d00991
climara,climara,d00537
climara (estradiol),climara,d00537
climara (estrogen),climara,d00537
climara (extrog. patch),climara,d00537
climara estrogen patch,climara,d00537
climara patch,climara patch,d00537
climara pro,climara pro,d04914
climbin,clonidine,d00044
climepiride,glimepiride,d03864
climera patch,climara patch,NO_DRUG_ID
climesa,climara,d00537
climitrol,clomipramine,d00876
clin trial:  lecozotan/placebo,lecozotan,NO_DRUG_ID
clinamycin,clindamycin,d00043
clindagel,clindagel,d01241
clindamin,clindamycin,d00043
clindamycin,clindamycin,d00043
clindamycin hydrochloride,clindamycin hydrochloride,d00043
clindamylin,clindamycin,d00043
clinical trial breast cancer,unknown,NO_DRUG_ID
clinical trial: alzhemed,tramiprosate,NO_DRUG_ID
clinical trial: ono,unknown,NO_DRUG_ID
clinoril,clinoril,d00033
clipazide,glipizide,d00246
clipizod xl,clozapine,d00199
cloazepam,clonazepam,d00197
clobetarsol,clobetasol,d01288
clobetasal topical,clobetasol topical,d01288
clobetasol,clobetasol,d01288
clobetasol (0.05 pct),unknown,d01288
clobetasol (ointment),clobetasol,d01288
clobetasol ointment (0.05 pct),clobetasol propionate,d01288
clobetasol propinate,clobetasol propionate,d01288
clobetasol propionate,clobetasol propionate,d01288
clobetasol propionate ointment,clobetasol propionate,d01288
clobetasol propionate omt,clobetasol propionate ointment,d01288
clobetasol propioneite,clobetasol propionate,d01288
clobex,clobex,d01288
clochicine,colchicine,d00150
clodetasol,clobetasol,NO_DRUG_ID
clokon,klonopin,d00197
clomdine,clonidine,d00044
clomidene,clomiphene,d00569
clomidine,clonidine,d00044
clomiparina,unknown,NO_DRUG_ID
clomipramine,clomipramine,d00876
clomodine,clonidine,d00044
clompramine,clomipramine,d00876
clonacepam,clonazepam,d00197
clonadine,clonidine,d00044
clonapen,clonazepam,d00197
clonapezam,clonazepam,d00197
clonazapam,clonazepam,d00197
clonazapan,clonazepam,d00197
clonazapram,clonazepam,d00197
clonaze pam,clonazepam,d00197
clonazepam,clonazepam,d00197
clonazepam 0.25,clonazepam,d00197
clonazepam 0.5,clonazepam,d00197
clonazepam odt,clonazepam,d00197
clonazepan,clonazepam,d00197
clonazepane,clonazepam,d00197
clonazepine,clonazepam,d00197
clonazepry,clonazepam,d00197
clonazepun,clonazepam,d00197
clonazetam,unknown,d00197
clonazopam,clonazepam,d00197
clonezapem,clonazepam,d00197
clonezepam,clonazepam,d00197
clonide,clonidine,d00044
clonidine,clonidine,d00044
clonidine hcc,clonidine hcl,d00044
clonidine hcl,clonidine hcl,d00044
clonidine hydrochloride,unknown,d00044
clonidine patch,clonidine patch,d00044
clonidini,clonidine,d00044
clonioine hcl,clonidine hcl,NO_DRUG_ID
clonodin,clonidine,d00044
clonodine,clonidine,d00044
clonodine hcl,clonidine hcl,d00044
clonopin,clonazepam,d00197
clonopin tab,clonazepam,d00197
clonozepam,clonazepam,d00197
clonozepan,clonazepam,d00197
clonzepam,clonazepam,d00197
clopedogrel bisulfate,clopidogrel bisulfate,d04258
clopidgnel,clopidogrel,d04258
clopidigrel,clopidogrel,d04258
clopidogrel,clopidogrel,d04258
clopidogrel (plavix),clopidogrel,d04258
clopidogrel bisulf,clopidogrel bisulfate,d04258
clopidogrel bisulfate,clopidogrel bisulfate,d04258
clopidogrel bisulfide,clopidogrel bisulfate,d04258
clopidogrel/plavix,clopidogrel,d04258
clopidogril,unknown,d04258
clopidoprel,clopidogrel,d04258
clopidoyrel,clopidogrel,d04258
clopidrel bisulfate,clopidogrel bisulfate,d04258
clopidrogel,clopidogrel,d04258
clopidrogrel,clopidogrel,d04258
clopiogrel,clopidogrel,d04258
clopriodrogel,clopidogrel,d04258
clorazapam,clonazepam,d00197
clorazapan,clonazepam,d00197
clorazapate,clorazepate,d00198
clorazepan,clonazepam,d00197
clorazepate,clorazepate,d00198
cloridogrel,clopidogrel,d04258
clorinex,clarinex,d04785
clorodipot,clorazepate dipotassium,d00198
clorthalidone,chlorthalidone,d00192
clotrim / beta,clotrimazole/betamethasone,NO_DRUG_ID
clotrimazole,clotrimazole,d01236
clotrimazole (cream),clotrimazole,d01236
clotrimazole 1 percent,clotrimazole,d01236
clotrimazole cream,clotrimazole cream,d04395
clotrimazole cream (1 pct),clotrimazole cream,d04395
clotrimazole- beta methasone,clotrimazole-betamethasone,d04395
clotrimazoletrache,clotrimazole,d01236
clouazepam,clonazepam,d00197
clouzzepam,unknown,d00197
clozanil,clozaril,d00199
clozapine,clozapine,d00199
clozaril,clozaril,d00199
clozepam,clonazepam,d00197
clreg,unknown,NO_DRUG_ID
clyclogye,cyclogyl,d01201
clyndamycin,unknown,d00043
cnaproxen,naproxen,d00019
co q10,coenzyme q10,d04523
co reg cr,coreg cr,d03847
co sopt,cosopt,d04303
co-enzyme q,coenzyme q10,d04523
co-reg,coreg,d03847
coaltar ointment,coal tar ointment,NO_DRUG_ID
cocace,cogex,NO_DRUG_ID
cocop (eye drops),cosopt,d04303
codein,codeine,d00012
codeine,codeine,d00012
codeine phosphate,codeine phosphate,d00012
codicine,codeine,d00012
coeg,coq10,d04523
coenzyme,coenzyme q10,d04523
coenzyme co q10,unknown,d04523
coenzyme q 10,coenzyme q10,d04523
coenzyme q-10,coenzyme q-10,d04523
cog,cogentin,d00175
cogentin,cogentin,d00175
cognex,unknown,d03176
cognitex,cognitex,NO_DRUG_ID
col/benemid,colchicine/probenecid,d03652
colace,colace,d01021
colace / docusate,docusate,d01021
colase,colace,d01021
colazal,colazal,d04700
colbenamide,colbenemid,NO_DRUG_ID
colbenemid,colbenemid,NO_DRUG_ID
colcchicine,colchicine,d00150
colchichine,colchicine,d00150
colchicine,colchicine,d00150
colchicine gout,colchicine,d00150
colchicine-probenecid,unknown,d03652
colchicine/probenecid,colchicine/probenecid,d03652
colchicue,colchicine,d00150
colchieine,colchicine,d00150
colchincine,colchicine,d00150
colchine,colchicine,d00150
colchione,colchicine,d00150
colchizine,colchicine,d00150
colchkone,colchicine,d00150
colclucuil,colchicine,d00150
colestapure,colestipol,d00744
colesteramine,cholestyramine,d00193
colestid,colestid,d00744
colestipol hcl,colestipol hydrochloride,d00744
colestyramine,cholestyramine,d00193
collace,colace,d01021
colohicine,colchicine,d00150
colostid,colestid,d00744
colpazamine,chlorpromazine,d00064
colrite,colcrys,d00150
coltrine,colchicine,d00150
coltucene,colchicine,d00150
combi patch,combipatch,d04375
combien,unknown,NO_DRUG_ID
combinent,combivir,d04219
combipatch,combipatch,d04375
combiuent inhaler,combivent inhaler,NO_DRUG_ID
combivant,combivent,d04066
combivant inhaler,combivent inhaler,NO_DRUG_ID
combivent,combivent,d04066
combivent  2 to 4 puffs,combivent,d04066
combivent 14.7 gr. 2 puffs,combivent,d04066
combivent 2puffs,combivent,d04066
combivent aero,combivent,d04066
combivent inhaler,combivent,d04066
combivent inhaler 2 puffs,combivent,d04066
combivent inhaler(90/18n),combivent respimat,d04066
combivent nebulizer,combivent,d04066
combiventaer,combivent,d04066
combiveny inhi,combivent inhaler,NO_DRUG_ID
combuvent,combivent,d04066
cometason,betamethasone,d00628
comfort pak,unknown,NO_DRUG_ID
commadin,coumadin,d00022
commanding,unknown,NO_DRUG_ID
commodim,cogentin,d00175
compazine,compazine,d00355
comptan,comtan,d04460
comtan,comtan,d04460
comton,comtan,d04460
conase qq (0.042 pct spray),cromoglicic acid,NO_DRUG_ID
conazepam,clonazepam,d00197
conbivent,combivent,d04066
conceerta,concerta,d00900
concerta,concerta,d00900
concor,concor,r10021
condriton,chondroitin,d04419
condroitin,chondroitin,d04419
conhadim,coumadin,d00022
coninadin,coumadin,d00022
conison cap,cortisone,d03205
conjugated estrogen,conjugated estrogens,d00541
conjugated estrogens topical,unknown,d04396
conjugated estrogens-medroxypr,unknown,d03819
conmadin,coumadin,d00022
constulose,constulose,d01024
contan,comtan,d04460
continuous oxygen,oxygen,d06860
coomadin,coumadin,d00022
coozan,coumadin,d00022
coozar,cozaar,d03821
copidrogel,clopidogrel,d04258
coq 10,coenzyme q10,d04523
coq10,coq10,d04523
coracidin,coricidin,d03296
corag,coreg,d03847
corazepam,clonazepam,d00197
cordarone,cordarone,d00002
cordizerm,cardizem,d00045
cordorone,cordarone,d00002
cordura,cardura,d00726
corea,cogentin,d00175
coreg,coreg,d03847
coreg  (6.250mg),coreg,d03847
coreg (heart medicine),coreg,d03847
coreg 12.5,coreg,d03847
coreg cr,coreg cr,d03847
coregard,coreg,d03847
corel,coreg,d03847
coreq,coreg,d03847
corex,corex,d03847
corez,coreg,d03847
corfia,coreg,d03847
corgaard,corgard,d00018
corgard,corgard,d00018
cormadin,coumadin,d00022
correg,coreg,d03847
corrg,coreg,d03847
corsai,corzide,NO_DRUG_ID
corsopt,cosopt,d04303
cortef,cortef,d00254
cortef-t,cortef,d00254
corticosteroid epidural,corticosteroid epidural injection,d00059
cortisone,cortisone,d03205
cortisone acetate,cortisone acetate,d00609
cortisone injection,cortisone injection,d03205
cortisone injections,cortisone,d03205
cortisone shots,cortisone,d03205
corzide,corzide,d03259
corzine,corazine,NO_DRUG_ID
cosamin ds,cosamin ds,d04420
cosamine ds,cosamine ds,d04420
coscopt,cosopt,d04303
cosept,cosopt,d04303
cosept eye drops,cosopt eye drops,d04303
cosimin ds,cosamin ds,d04420
cosoft,cosopt,d04303
cosoft eye ghs,cosopt eye drops,d04303
cosoph eye drops,cosopt eye drops,d04303
cosopt,cosopt,d04303
cosopt  (2 drops),cosopt,d04303
cosopt  xalitan,cosopt and xalatan,NO_DRUG_ID
cosopt (dorzol/tim),cosopt,d04303
cosopt (sol),cosopt,d04303
cosopt 0.05%,cosopt,d04303
cosopt 2,cosopt,d04303
cosopt drops,cosopt,d04303
cosopt drps,cosopt drops,d04303
cosopt eye drop,cosopt,d04303
cosopt eye drops,cosopt,d04303
cosopt eye solution,cosopt,d04303
cosopt eyedrops,cosopt,d04303
cosopt ggt,cosopt,d04303
cosopt gtts,cosopt,d04303
cosopt o plus,cosopt,d04303
cosopt ocumeter,cosopt,d04303
cosopt ocumeter 0.5%,cosopt,d04303
