raw_drug,drug_id
capoten,d00006
capropril,d00006
capsaicin,d01321
capsaicin 0.00075 cream,d01321
capsaicin cream top,d01321
capsaicin creme 0.25 percent,xxxxxx
capsalin cream,d01321
captapril,d00006
captepril,d00006
captopil,d00006
captopirl,d00006
captopnil,d00006
captopril,d00006
captopril/hctz,d03566
captopryl,d00006
captorpil,d00006
carafate,d00377
carbadopa,d00184
carbadopa levadopa,d03473
carbamasepime,d00058
carbamazepine,d00058
carbamazepone,d00058
carbamazipine,d00058
carbamezaprine,d00058
carbamide peroxide,d03990
carbamide peroxide otic,d03990
carbamzepine,d00058
carbatrol,d00058
carbemazapime,d00058
carbidopa,d00184
carbidopa  levodopa,xxxxxx
carbidopa - levodopa,d03473
carbidopa / levadopa,d03473
carbidopa / levidopa,d03473
carbidopa / levo,d03473
carbidopa 25   levodopa 100,d03473
carbidopa 25 levodopa 100,d03473
carbidopa 25/levodopa 100,d03473
carbidopa 50/ levodopa 200 sa,d03473
carbidopa and levodopa,d03473
carbidopa cr,d00184
carbidopa extended release,xxxxxx
carbidopa levadopa,d03473
carbidopa levadopa sa,xxxxxx
carbidopa levodopa,d03473
carbidopa levodopa  25 100 mg,d03473
carbidopa levodopa 10 100,d03473
carbidopa levodopa 25 100,d03473
carbidopa levodopa 25 100 1 ta,d03473
carbidopa levodopa er 25 100,d03473
carbidopa-levodopa,d03473
carbidopa-levodopa 25 100,d03473
carbidopa-levodopa cr,d03473
carbidopa-levodopa sr 25 100,d03473
carbidopa/lenadopa,d03473
carbidopa/lerodopa,d03473
carbidopa/levidopa,d03473
carbidopa/levodopa,d03473
carbidopa/levodopa 10/100,d03473
carbidopa/levodopa 25/100,d03473
carbidopa/levodopa 25/100 1 ta,d03473
carbidopa/levodopa 25/250-disc,d03473
carbidopa25/ levodopa,d03473
carbidopal levadopa,d03473
carbidopal/leodopa,d03473
carbidopal/levo,d03473
carbidopalevo er 50-200,d03473
carbidopalevodopa,d03473
carbidupa,d00184
carbldopa,d00184
carblevo,d03473
carbodopa,d00184
carbodopa levodopa,d03473
cardec,d03300
cardena,d00315
cardene,d00315
cardi zein,d00045
cardia,d00045
cardia xt,d00045
cardiazem,d00045
cardina,d00315
cardiotek,d03140
carditone,xxxxxx
cardizcm,d00045
cardizem,d00045
cardizem cd,d00045
cardizem cr,d00045
cardizem la,d00045
cardizem xl,d00045
cardizem-cd,d00045
cardizemla,d00045
cardizemsr,d00045
cardizen,d00045
cardizim,d00045
cardizon,d00045
cardura,d00726
carhidopa,d00184
caribodopa,d00184
carisoprodal,d00960
carisoprodol,d00960
carisprodol,d00960
carnitor,d00491
carta,d00045
carta xl,d00045
carteolol drops,d04039
carteolol hydrochloride,d04039
carter,d01015
cartia,d00045
cartia x 7,d00045
cartia xl,d00045
cartia xt,d00045
cartia xt er,d00045
cartia xter,d00045
cartia-xt,d00045
carvedilol,d03847
carvedilol coreg cr,d03847
carveditol,d03847
carvelide (coreg),d03847
casadex,d03850
casodex,d03850
castor oil,d01014
cataflam,d00848
catalopram,d04332
catapres,d00044
catapres patch,d00044
catapres tts,d00044
catapres tts patch,d00044
catapres-tts,d00044
catapres-tts1,d00044
catapress,d00044
catapress clonidine patch,d00044
catapress patch #3,d00044
catapress tts patch,d00044
catarase,d01202
catia xt,d00045
catopril,d00006
caumadin,d00022
caverject,d01387
cazt,d00395
cefadroxil,d00080
ceftin,d00056
celalopram (celexa),d04332
celbrex,d04380
celebnex,d04380
celebrax,d04380
celebres,d04380
celebrex,d04380
celebrex caps,d04380
celebrey,d04380
celebrez,d04380
celecoxib,d04380
celecrex,d04380
celestin,d00628
celeva,d04332
celexa,d04332
celexa (am),d04332
celexa (pm),d04332
celexaq,d04332
celexea,d04332
celexia,d04332
celexsa,d04332
cellcept,d03839
cellecept,d03839
celluvisc,d03768
cenestin,d00541
centrium silver,d03145
centrum,d03145
centrum multivitamin,d03145
centrum silver,d03145
centrum silver vitamin,d03145
cephalaxin,d00096
cephalexin,d00096
cephalixin,xxxxxx
ceplixlexin,d00096
cerazime by infusion,d04096
cerefloin,d03140
cerefolin,d03140
cerefolin nac,xxxxxx
cerefolin-nac,xxxxxx
cerefolon,d03140
cereoflin,d03140
cerofolin,d03140
cerrefolin,d03140
certa-vite,d03145
certagen senior tablet,d03145
certavite silver,xxxxxx
cetalopram,d04332
cetirizine,d03827
cetirizine hcl,d03827
cetirzine,d03827
cetriode,d04706
chantex,d05807
chantix,d05807
childrens aspirin,d00170
chlor tablets,xxxxxx
chlor-pheniramine,d00191
chlor-trimeton,d00191
chloral hydrate,d00147
chloral hydrate 500 mg 5 ml,d00147
chlorambucil,d00188
chlorathiazide,d00190
chlordiazepoxide,d00189
chlordiazepoxide-clidinium,d03492
chlordiazepozide,d00189
chlorestoral,xxxxxx
chlorhexidine,d01231
chlorhexidine gluconate,d01231
chlorodiazepoxide,d00189
chloroquine,d00035
chloroquine phosphate,d00035
chlorothiazide,d00190
chlorpheniramine,d00191
chlorphenirmine,d00191
chlorpropamide,d00042
chlortabs,d00191
chlortalidone,d00192
chlorthal,d00192
chlorthaladone,d00192
chlorthaldone,d00192
chlorthalid,d00192
chlorthalidine,d00192
chlorthalidon,d00192
chlorthalidone,d00192
chlorthatrdone,d00192
chlorthilidone,d00192
chlorzokazone,d00962
chlorzoxazone,d00962
chol-mag-trisal,d03651
cholecalciferol,d03129
cholestepure,r10019
cholesterol pills,xxxxxx
cholesterol rx,xxxxxx
cholestid,d04426
cholestoff,s10044
cholestryamine powder 1/2 tsp,d00193
cholestyramine,d00193
cholestyramine  4 grams,d00193
cholestyramine -2grams,d00193
cholestyramine powder,d00193
cholestyramine sucrose,d00193
cholicalciferol,d03129
choline,d03159
choline mag trisol,d03651
choline mag trisolyte,d03651
choline magnesium trisalicyala,d03651
choline mg trisalicyl,d03651
chondroitin,d04419
chondroitin sulfate,d04419
chondroitin-glucosamine,d04420
chondroitin/glucosamine,d04420
chondroiton,d04419
chromagen,d03141
chromium picolate,d04142
cialis,d04896
ciarinex d,d05473
ciclopirox olamine,d01272
cicostazol,d04382
cilalopram,d04332
cilostazd,d04382
cilostazol,d04382
cilostazol/pletal,d04382
cimetadine,d00140
cimetedine,d00140
cimetidine,d00140
cintalopram,d04332
cipitor,d04105
cipro,d00011
cipro hcl,d04288
cipro otic-ear dp,xxxxxx
cipro xr,d00011
ciproflaxacin,xxxxxx
ciproflaxacin (nasal spray),d00011
ciproflaxocin,d00011
ciprofloxaan,d00011
ciprofloxacin,d00011
ciprofloxacine,d00011
ciprofloxacn,d00011
ciprofloxacon,d00011
ciprofloxalin,d00011
ciprofloxaum,d00011
ciralopram,d04332
cirofloxacin,d00011
cisplatin,d00195
cisthma nix,d04611
citalaporam,d04332
citalapram,d04332
citalopam,d04332
citalopam hbr,d04332
citalopium,d04332
citalopra,d04332
citalopram,d04332
citalopram (celexa),d04332
citalopram celexia,d04332
citalopram d/c 2007,xxxxxx
citalopram hb,d04332
citalopram hbr,d04332
citalopram hcl,d04332
citalopram hyd.,d04332
citalopram hydabromide,d04332
citalopram hydro,d04332
citalopram hydrobraomibe,d04332
citalopram hydrobromi,d04332
citalopram hydrobromide,d04332
citalopram hydrodoromide,d04332
citalopram/celexa,d04332
citalopran,d04332
citalopran hbr,d04332
citalopran hydrobranide,d04332
citaloprim,d04332
citaloprom,d04332
citaloprsm,d04332
citaloprum,d04332
citalpram hydrobromide,d04332
citaopram,d04332
citaprolam,d04332
citazopram,d04332
citcloprem,d04332
citlopralam,d04332
citnetidine,d00140
citolopram,d04332
citracal,d03137
citracal plus,d03145
citracel,s10056
citralopram,d04332
citrical d,d03137
citrucel,d04248
ciynadub,xxxxxx
claonidine hcl,d00044
claranex,d04785
claratin,d03050
claratin d,d05473
clarin,d00773
clarinax,d04785
clarinex,d04785
clarinex rdt,d04785
claritan,d03050
clariten,d03050
clarithromycin,d00097
claritin,d03050
claritin d,d03818
claritin d 12 hour,xxxxxx
claritin d/c 2007,d00045
claritin-d,xxxxxx
claritin-d 12 hr,d03818
clariton,d03050
clebrex,d04380
clelebrex,d04380
clelexa,d04332
clemastine fumarate,d00780
cleocin + lotion,d01241
clidinium,d00991
climara,d00537
climara (estradiol),d00537
climara (estrogen),d00537
climara (extrog. patch),d00537
climara estrogen patch,d00537
climara patch,d00537
climara pro,d04914
climitrol,xxxxxx
clindagel,d01241
clindamycin,d00043
clindamycin hydrochloride,d00043
clindamylin,d00043
clinoril,d00033
cloazepam,d00197
clobetarsol,d01288
clobetasal topical,d01288
clobetasol,d01288
clobetasol (0.05 pct),d01288
clobetasol (ointment),d01288
clobetasol ointment (0.05 pct),d01288
clobetasol propinate,d01288
clobetasol propionate,d01288
clobetasol propionate ointment,d01288
clobetasol propionate omt,d01288
clobetasol propioneite,d01288
clobex,d01288
clomdine,d00044
clomidine,d00044
clomiparina,xxxxxx
clomipramine,d00876
clomodine,d00044
clompramine,d00876
clonacepam,d00197
clonadine,d00044
clonapen,d00197
clonapezam,d00197
clonase pam,d00197
clonazapam,d00197
clonazapan,d00197
clonazapram,d00197
clonaze pam,d00197
clonazepam,d00197
clonazepam 0.25,d00197
clonazepam 0.5,d00197
clonazepam odt,d00197
clonazepan,d00197
clonazepane,d00197
clonazepine,d00197
clonazepry,d00197
clonazepun,d00197
clonazetam,d00197
clonazopam,d00197
clonazyam,d00197
clondine,d00044
clonezapem,d00197
clonezepam,d00197
clonidine,d00044
clonidine hcc,d00044
clonidine hcl,d00044
clonidine hydrochloride,d00044
clonidine patch,d00044
clonidini,d00044
clonodin,d00044
clonodine,d00044
clonodine hcl,d00044
clonopin,d00197
clonopin tab,d00197
clonozepam,d00197
clonozepan,d00197
clonzepam,d00197
clopidgnel,d04258
clopidigrel,d04258
clopidogrel,d04258
clopidogrel (plavix,d04258
clopidogrel (plavix),d04258
clopidogrel bisulf,d04258
clopidogrel bisulfate,d04258
clopidogrel bisulfide,d04258
clopidogrel/plavix,d04258
clopidogril,d04258
clopidoprel,d04258
clopidoyrel,d04258
clopidrel bisulfate,d04258
clopidrogel,d04258
clopidrogrel,d04258
clopiogrel,d04258
clopriodrogel,d04258
clorazapate,d00198
clorazepan,d00198
clorazepate,d00198
clorazepate dipotassium,d00198
cloridogrel,d04258
clorithromycin,d00097
clorodipot,d00198
clotrimazole,d01236
clotrimazole (cream),d04395
clotrimazole 1 percent,d01236
clotrimazole cream,d04395
clotrimazole cream (1 pct),d04395
clotrimazole- beta methasone,d04395
clotrimazoletrache,d01236
clouazepam,d00197
clouzzepam,d00197
clozapine,d00199
clozaril,d00199
clyclogye,d01201
clyndamycin,d00043
co q10,d04523
co sopt,d04303
codein,d00012
codeine,d00012
codeine phosphate,d00012
coenzyme,d04523
coenzyme co q10,d04523
coenzyme q10,d04523
cogentin,d00175
cognex,d03176
cognitex,d03176
colace,d01021
colachline,d00150
colase,d01021
colazal,d04700
colcchicine,d00150
colchichine,d00150
colchicine,d00150
colchicine-probenecid,d03652
colchicine/probenecid,d03652
colchieine,d00150
colchincine,d00150
colchine,d00150
colchione,d00150
colchizine,d00150
colchkone,d00150
colectpol hcl,d00744
colesevelam hcl,d04695
colesteramine,d00193
colestid,d00744
colestipol hcl,d00744
colohicine,d00150
colozaar,d03821
colpazamine,d00197
combi patch,d04375
combien,d04066
combigan,d05283
combipatch,d04375
combivant,d04066
combivent,d04066
combivent  2 to 4 puffs,d04066
combivent 14.7 gr. 2 puffs,d04066
combivent 2puffs,d04066
combivent aer,d04066
combivent aero,d04066
combivent inhaler,d04066
combivent inhaler 2 puffs,d04066
combivent inhaler(90/18n),d04066
combivent nebulizer,d04066
combiveny inhi,d04066
combuvent,d04066
compazine,d00355
comperanol,xxxxxx
comptan,d04460
comtan,d04460
comton,d04460
conase qq (0.042 pct spray),xxxxxx
conazepam,d00197
conceerta,d00900
concerta,d00900
concor,r10021
conison cap,d03141
conjugated estrogen,d00541
conjugated estrogens,d00541
conjugated estrogens topical,d04396
conjugated estrogens-medroxypr,d03819
conmadin,d00022
constulose,d01024
contan,d04460
coozan,d03668
coq 10,xxxxxx
coq- 10,xxxxxx
coq10,xxxxxx
corazepam,d00149
cordarone,d00002
cordorone,d00002
cordura,d00726
corea,xxxxxx
coreg,d03847
coreg (heart medicine),d03847
coreg 12.5,d03847
coreg cr,d03847
corex,d03847
corgaard,d00018
corgard,d00018
coricidin,d03296
cormadin,d00022
correct,d03497
correg,d03847
corrg,d03847
cortef,d00254
cortef-t,d00254
corticosteroid epidural,d00059
cortisone,d03205
cortisone acetate,d00609
cortisone injection,d03205
cortisone injections,d03205
cortisone shots,d03205
corvert,d03871
corzide,d03259
cosamin ds,d04420
cosamine ds,d04420
coscopt,d04303
cosept,d04303
cosept eye drops,d04303
cosimin ds,d04420
cosoft,d04303
cosoft eye ghs,d04303
cosoph eye drops,d04303
cosopt,d04303
cosopt  (2 drops),d04303
cosopt  xalitan,d04303
cosopt (dorzol/tim),d04303
cosopt 0.05 percent,xxxxxx
cosopt 2,d04303
cosopt drops,d04303
cosopt drps,d04303
cosopt eye drop,d04303
cosopt eye drops,d04303
cosopt eye solution,d04303
cosopt eyedrops,d04303
cosopt ggt,d04303
cosopt gtts,d04303
cosopt gtts od,d04303
cosopt o plus,d04303
cosopt ocumeter,d04303
cosopt ocumeter 0.5 percent,xxxxxx
cosopt ocumt sol,d04303
cosopt od,d04303
cosopt opht -1 drop,d04303
cosopt ophthalmic drops,d04303
cosopt opth,d04303
cosopt opthalimic drop,d04303
cosopt opthalmic drops,d04303
cosopt opthalmic solution,d04303
cosopt plus optisol,d04303
cosopt r eye,d04303
cosopt?eye drops,xxxxxx
cosoptocumeter,d04303
cosopton,d04303
cospot,d04303
cosropt eye drops(),d04303
cosyst ocumeter plus,d04303
cotrel,d03829
cotrim,d00124
coumaden,d00022
coumadia,d00022
coumadiin,d00022
coumadim,d00022
coumadin,d00022
coumadin (2 days),d00022
coumadin (5 days),d00022
"coumadin (tue, thur, sat)",d00022
coumadin (warfarin),d00022
coumadin 2-3mg,d00022
coumadin 2.5,d00022
coumadin 4mg   5 mg alternatin,d00022
coumadin 4mg 5 mg alternating,d00022
coumadin 7.5,d00022
coumadine,d00022
coumadm,d00022
coumadn,d00022
coumatin,xxxxxx
coumdin,d00022
coumedin,d00022
coumiden,d00022
coumidin,d00022
coumodin,d00022
coumoudin,d00022
counadin,d00022
courmadin,d00022
covaryx,d03245
covera,d00048
covera-hs,d00048
covmadin,d00022
cowmadine,d00022
cozaar,d03821
cozair,d03821
cozar,d03821
cozoar,d03821
cozopt,d04303
cozzaar,d03821
cozzar,d03821
creon,d01002
crestar,d04851
crestor,d04851
crestpr,d04851
cristor,d04851
crocholine,d01427
cromolyn 4% nasal spray,d04394
cromylin,d00200
cronidine,d00044
crstor,d04851
cryselle,xxxxxx
cumadin,d00022
cumidin,d00022
cundamcycin,d00043
curcumin,s10117
curcurmin,s10117
cutivate,d04284
cyanobalamin,d00413
cyanocabalamin,d00413
cyanocobalam,d00413
cyanocobalamin,d00413
cyanocobalamine,d00413
cyanocobalmin,d00413
cyanocobalmin inj b12,d00413
cyanocobulamin,d00413
cyclebenzaprine,d00963
cyclobensoprine,d00963
cyclobenzapam,d00963
cyclobenzapine,d00963
cyclobenzaprene,d00963
cyclobenzaprin,d00963
cyclobenzaprine,d00963
cyclobenzaprine hcl,d00963
cyclobenzaprine hydrochloride,d00963
cyclobenzarprine,d00963
cyclobenzepine,d00963
cyclobenzprine,d00963
cyclobezaprine,d00963
cyclohenzaprn,xxxxxx
cyclopentolate,d01201
cyclosporin,d00079
cyclosporine,d00079
cydosenzapine,d00790
cylert,d00901
cylomel,d00658
cymbaeta,d05355
cymbaita,d05355
cymbal ta,d05355
cymbalata,d05355
cymballa,d05355
cymbalta,d05355
cymbaltin,d05355
cymbalton,xxxxxx
cymbaltz,d05355
cymbarta,d05355
cymbata,d05355
cymbolta,d05355
cymbulta,d05355
cynbalta,d05355
cyprohepladine,d00790
cyproheptad,d00790
cyproheptadine,d00790
cyrnocobalamin inj,d00413
cystagon,d03794
cytamel,d00658
cytomel,d00658
cytomel (t3),d00658
cytonel,d00658
cytotec,d00303
cytoxan,d00036
cytra-k,d00439
cytra-k crystals,d00439
d,xxxxxx
d-allergy,d07810
dacusate sodium,d01021
dalmane,d00238
danazol,d00204
danvocet,d03434
dapsome,d00098
dapsone,d00098
darbepoetin,d04771
darbepoetin (aranesp),d04771
darcovet,d03434
darevocet,d03434
darifenacin,d05422
darrocet,d03434
darvaset,d03434
darvocet,d03434
darvocet generic,d03434
darvocet n,d03434
darvocet n 100,d03434
darvocet n acetaminophen,d03434
darvocet n propoxyphene n,d03434
darvocet n-100,d03434
darvocet n100,d03434
darvocet-n,d03434
darvocet-n 100,d03434
darvocet-n-10(100/650mg),d03434
darvocet-n-100,d03434
darvocet-n/apap,d03434
darvocey,d03434
darvoct,d03434
darvon,d00360
darvoset (darvon-n 100),d03434
datril,d04294
davon,d00360
dayaro,d00853
daypro,d00853
dcoran hct,xxxxxx
ddavp,d00583
debrox,d03990
decadron,d00206
declofenac,d00848
declomycin,d01068
declophenic,d00848
deconamine,d03298
deconamine se,d03298
deconomina,d03298
dectrol,d04294
decussate sodium,d01021
delatestryl testosterone,d00558
delestrogen,d00537
deltasone,d00350
deltrol,d04294
demadex,d03189
demalex,d03189
demandex,d03189
demedex,d03189
demerol,d00017
demoral,d00017
deneb,xxxxxx
deovan,d04113
depacote,d03833
depahate,d03833
depakane,d00083
depakone,d00083
depakote,d03833
depakote -er,d03833
depakote -xr,d03833
depakote er,d03833
depakote sprinkle,d03833
depakote sprinkles,d03833
depakote-er,d03833
depakote-xr,d03833
depakotes,d03833
depakotte,d03833
depalcole,d03833
depalcote,d03833
depalcote er,d03833
depaloteer,d03833
depavote,d03833
depkote,d03833
depokote,d03833
deporat,xxxxxx
depotestosterone,d00558
deprenyl,r10017
deragesic patch,d00233
derma-smoothe/fs,xxxxxx
dermadex,d01332
dertol la,d04294
derzolamide,d03805
des,d00546
desenide ointment,d01290
deseryl,d00395
desipramine,d00145
desmopresin,d00583
desmopressin,d00583
desmopressin acetate,d00583
desonide,d01290
desonide (.05),d01290
desonide (cream),d01290
desonide cream,d01290
desonide lotion 0.06,d01290
desoximetas,d01291
desoximetasome,d01291
desoximetasone,d01291
desoximetasone cream,d01291
desoximetsone (0.25 pct),d01291
desoxymethasone,d01291
despramine,d00145
destrostat,d00804
desyrel,d00395
desyrel-trazodone,d00395
detr0l,d04294
detral,d04294
detral la,d04294
detrel,d04294
detro la,d04294
detrol,d04294
detrol - la,d04294
detrol la,d04294
detrol la - discontinued,d04294
detrol la cap,d04294
detrol patch,d04294
detrol-la,d04294
detrol-xl,d04294
detrolla,d04294
detropan,d00328
detrpan xl,d00328
dettrol,d04294
dexadrine,d00804
dexamethasone,d00206
dexazosin mesylate,d00726
dexedine,d00804
dexedrine,d00804
dextroamphetamine,d00804
dextroamphetamine sr,d00804
dextroamphetamine sulfate,d00804
dextrol,d04294
dextromethorphan quindine,d00207
dextropham,d00207
dextrostat,d00804
dha,s10042
dhea,d04425
dhea study wash u,d04425
di ovar / hctz,d04293
diabetic pill,xxxxxx
diacepam,d00148
dialtiazem,d00045
dialyvite,d03140
diamax,d00161
diamox,d00161
diamox sequels,d00161
diaoxin,d00210
diaportion,xxxxxx
diatek,d03140
diavan,d04113
diavan hctz,d04293
diavan/hctz 160/12.5,d04293
diavon,d04113
diazapam,d00148
diazem,d00148
diazepain,d00148
diazepam,d00148
diazepam (valium),d00148
diazepam / prn,d00148
diazepan,d00148
diazide,d03052
diazide 37.5/25,d03052
diazinde,d03052
diazipam,d00148
diazoxide,d00129
diboxin,d00210
dical d,d03137
diclazem,d00045
dicloenac,d00848
diclofanax,d00848
diclofenac,d00848
diclofenac d/c 2007,xxxxxx
diclofenac ka,d00848
diclofenac na,d00848
diclofenac sdoim er,d00848
diclofenac sod,d00848
diclofenac sod.,d00848
diclofenac sodium,d00848
diclofenacf,d00848
diclofenacp,d00848
diclofenae,d00848
diclofenal,d00848
diclofenax va,d00848
diclofene,d00848
diclofene sodium,d00848
dicloferac,d00848
diclofinac,d00848
diclofonac,d00848
diclosenac,d00848
diclotenac,d00848
diclotenac sodium,d00848
dicloxacill,d00153
dicolfenac,d00848
dicolofenac,d00848
dicyclamine,d00999
dicyclomate,d00999
dicyclomide,d00999
dicyclomine,d00999
dicyclomine hcl,d00999
dicyclonine,d00999
didronel,d00599
difenisal,d00208
differin topical,d04015
diflorasone,d01292
diflucan,d00071
diflunisal,d00208
diflunisol,d00208
diflusinal,d00208
digetek,d00210
digex,d05433
digilek (lanoxin),d00210
digitalis,d00210
digitec,d00210
digitec 6xwk,d00210
digiteck,xxxxxx
digitek,d00210
digitek 0.125,d00210
digitex,d00210
digixon,d00209
diglofenac,d00848
digltek,d00210
digolin,d00210
digoxen,d00210
digoxin,d00210
digoxin   .125mg,d00210
digoxin .125mg,d00210
digoxin 0.125,d00210
digoxin 0.25 1/5 tab,d00210
dijoxin,d00210
dilacor,d00045
dilacor (diltiazem),d00045
dilacor xr,d00045
dilacor xt,d00045
dilandn,d00143
dilantiin,d00143
dilantin,d00143
dilantin infatab,d00143
dilatazim,d00045
dilatin,d00143
dilatizem,d00045
dilinatin,d00143
dilirozem,d00045
dilitazem,d00045
dilitazem xt,d00045
dilitia xt,d00045
dilitiazam cd,d00045
dilitiazem,d00045
dilitiazem er,d00045
dilitiazemco,d00045
dilitizam,d00045
dilt xr,d00045
diltazem,d00045
diltazem cd,d00045
diltia,d00045
diltia (dilacor xr),d00045
diltia xr,d00045
diltia xt,d00045
diltialem,d00045
diltiam,d00045
diltiamzem cd,d00045
diltiatem,d00045
diltiaz er,d00045
diltiaz-er,d00045
diltiazam,d00045
diltiazam hclr,d00045
diltiazem,d00045
"diltiazem (cardizem, tiazac)",d00045
diltiazem cd,d00045
diltiazem co,d00045
diltiazem er,d00045
diltiazem er  300 24,d00045
diltiazem hcl,d00045
diltiazem hcl cd,d00045
diltiazem hcl d/c 2007,d00045
diltiazem hydrochloride,d00045
diltiazem hydrochloride cd,d00045
diltiazem hydrochloride sr,d00045
diltiazem hydrochloride xr,d00045
diltiazem sa,d00045
diltiazem tx,d00045
diltiazem xl,d00045
diltiazem xr,d00045
diltiazem xt,d00045
diltiazen,d00045
diltiazen cd,d00045
diltiazeur,d00045
diltiazim,d00045
diltiazimer,d00045
diltiazine,d00045
diltiazom  zt,d00045
diltiazom cd,d00045
diltiazum,d00045
diltiozem,d00045
diltiozen cd,d00045
diltiuzem,xxxxxx
diltizazem,d00045
diltizem,d00045
diltoazem,d00045
diltraz er,d00045
diltrazem,d00045
diltrazen sr,d00045
diltziazem,d00045
dimvastatin,d00746
dinovan,d04113
diocan / hct,d04293
diocto,d01021
diocto cap,d01021
dioltiazem,d00045
dioran,d04113
dioran hlt,d04293
diovam,d04113
diovan,d04113
diovan   hct,d04293
diovan (80mg x 2),d04113
diovan - hctz,d04293
diovan / hct,d04293
diovan / hcthx,d04293
diovan / hctz,d04293
diovan 160/12.5,d04113
diovan 80 hct,d04293
diovan act,d04293
diovan hci,d04293
diovan hcl,d04293
diovan hct,d04293
diovan hct 160/25,d04293
diovan hct 80/12.5,d04293
diovan hct bp,d04293
diovan hct2,d04293
diovan hctz,d04293
diovan hzt,d04293
diovan(160/12.5mg),d04113
diovan(80/12.5mg),d04113
diovan/hct,d04293
diovan/hctz,d04293
diovan/hctz(160/12.5mg),d04293
diovan/hctz(160/25mg),d04293
diovanicct,d04293
diovon,d04113
diovon/htc,d04293
diovun,d04113
dipentum,d01032
diphenhydamine,d00212
diphenhydrame,d00212
diphenhydramine,d00212
diphenhydramine hcl,d00212
diphenhydramine hydrochloride,d00212
diphenoxylate,d03506
diphenydramine,d00212
dipivefrin,d01184
diprolene,d03197
dipryidamole,d00213
dipryridamide,d00213
dipyridamo,d00213
dipyridamole,d00213
dipyridimole,d00213
dipyridole,d00213
dipyridomale,d00213
dipyridomole/asa/aggrenox 200/,d04497
dipyrimadole,d00213
dirlofenac,d00848
dirtopam,d00328
disacid,d00842
disalcid,d00842
disalsid,d00842
disipromine,d00145
disopyramide,d00214
disoxin,xxxxxx
ditiazam,d00045
ditiazem,d00045
ditiazon,d00045
ditlopan,d00328
ditopan,d00328
ditripan xl,d00328
ditrol,d04294
ditropam xl,d00328
ditropam-xl,d00328
ditropan,d00328
ditropan dc,d00328
ditropan x2,d00328
ditropan xl,d00328
ditropan xl (on hold),d00328
ditropan-xl,d00328
ditropanixl,d00328
ditropun,d00328
dittiazem,d00045
dittiazem xr,d00045
diurectic,xxxxxx
diuretic,d03256
diuril,d00190
divalproex,d03833
divalproex sod,d03833
divalproex sodium,d03833
divan,d04113
divodart,d04788
divon,d04113
divon hbp,d04113
dizoxin,d00210
dmsa,xxxxxx
"do,bsdysyom",xxxxxx
doc q lace,d01021
doc-q-lace,d01021
doc-qlace,d01021
doclace,d01021
docusate,d01021
docusate ca,d01021
docusate calcium,d01021
docusate na,d01021
docusate na sennosides,d03496
docusate sod,d01021
docusate sodium,d01021
docusatena,d01021
docusut,d01021
dofetilide,d04459
doivan,d04113
dok,d01021
dokasozin mescalate,d00726
domperidone,r10004
donazepam,d04099
donepazil,d04099
doneperil,d04099
donepesil hcl,d04099
donepezil,d04099
donepezil (aricept),d04099
donepezil (aricept)  10mg,d04099
donepezil hci,d04099
donepezil hcl,d04099
donepezil hydrochloride,d04099
donepezil mcl,d04099
donepizil,d04099
donepizil (aricept),d04099
doneprazil,d04099
doneprezil,d04099
donepryzol,d04099
donepzil,d04099
donezepil,d04099
donnatal,d03485
donnatal elixir,d03485
donnatol,d03485
dopamine,d00216
dorzolamide,d03805
dorzolamide hcl,d03805
dorzolamide hydrochloride 2,xxxxxx
dorzolamide/ timdol solution,d04303
dostinex,d04112
dosusate,d01021
doucaste,d01021
dovonex,d03788
dovonex ointment,d03788
dovonix topical,d03788
dovonox,d03788
doxacosin,d00726
doxacycline,d00037
doxagosin,d00726
doxalosin,d00726
doxasocin,d00726
doxasolin,d00726
doxasozin,d00726
doxazasin,d00726
doxazocin,d00726
doxazoin,d00726
doxazosim,d00726
doxazosim mesylate,d00726
doxazosin,d00726
doxazosin (cardura),d00726
doxazosin cardura,d00726
doxazosin mesplate,d00726
doxazosin mesylate,d00726
doxazosin mesylite,d00726
doxazosin tab,d00726
doxazosine,d00726
doxazosm,d00726
doxazusin,d00726
doxcycline,d00037
doxepin,d00217
doxepin (cream),d03774
doxepin hydrochloride,d00217
doxepine,d00217
doxeprin,d00217
doxicycline,d00037
doxipen,d00217
doxyclcline,d00037
doxycline,d00037
doxycycl,d00037
doxycyclene,d00037
doxycycline,d00037
doxycycline hyclate,d00037
doxycyline,d00037
doxylamine,d03154
doxylamine succinate,d03154
dramamine,d00861
drisdol,d03128
drixoral alieray,d03755
dss,d01021
dterol la,d04294
duagesic,d00233
ducodyl,d01015
ducolax,d01015
ducosate,d01021
ducosil,d01021
duetact,d05856
dulcolax,d01021
duloxetine,d05355
duloxetine mcl,d05355
dunoneb inhaler,d04066
duo neb,d04066
duo neb.,d04066
duocet,d03428
duoneb,d04066
duoneb inhalation solution,d04066
duoneb inhaler,d04066
duoneb solution,d04066
duonebs,d04066
duragesic,d00233
duragesic pain patch,d00233
duragesic patch,d00233
duramist plus,d00772
dutasteride,d04788
dutastoride,d04788
dyanzide,d03052
dyazide,d03052
dyazide 37.5 25 1 cap,d03052
dyazide and triamterene hctz,d03052
dyazide(25/37.5mg),d03052
dyazide(37.5/25mg),d03052
dyazyde,d03052
dynacin,d00110
dynacin c,d00110
dynacir c,d00270
dynacirc,d00270
dynacirc  cr,d00270
dynacirc - cr,d00270
dynacirc cr,d00270
